broadcast_abstract,year,id,time,length,n
"Pope Paul fears some young and rebellious Catholics will come under Communist influence. Priests not mentioned, though Vatican concerned over priests' defiance with regard to birth control. National Federation of Priests Council meets in Washington, DC to try to find way to settle dispute.REPORTER: Frank Reynolds(DC) Small and vocal group of priests in Washington, DC area tell public that man may follow own conscience with regard to birth control. Patrick Cardinal O'Boyle says Pope's decree must be followed. [O'BOYLE - says teaching of Church as in Pope's encyclical is true and right.] Some liberal Catholics walk out. [O'BOYLE - says couldn't let you be misled by freedom of conscience that could bring horrible curse.] [Association Laymen Richard LEAHEY - says O'Boyle takes this personally. No 1 challenging Pope's office or encyclical or Bishop's office. Issue is of conscience.] [CATHOLIC - says he is for anything the Pope and Cardinal say is right.] [2nd CATHOLIC - says encyclical need not be followed dogmatically.] [3rd CATHOLIC - says we walked out.] Shouting match shown. Many Catholics won't follow Pope's encyclical.REPORTER: Sam Donaldson",1968,662312,85490,1160,4560
"Live NBC coverage Republican National Convention.Live interviews with Ody Fish, George Bush, Peter Wold, Jr., Sen. Charles Percy, Melvin Laird.Video of speech by Dwight Eisenhower.Live speeches by Ray Bliss, Spiro Agnew, Richard Schweiker, John Eisenhower, Dr. Arthur Fleming.",1968,134,3720,276,4560
"Attorney Percy Foreman to defense James Earl Ray. His latest triumph was acquittal of accused Florida murderess, Candace Nossler.REPORTER: Frank Reynolds(Memphis, Tennessee) Preparations underway for Tuesday trial. [Sheriff Shelby Cnty. William MORRIS - announces Ray's intentions to do away with services of attorney, Arthur Hanes, Senior and son and obtaining new attorney and Tennessee attorney] Foreman to ask for trial delay; meets with Ray. Hanes says won't release records until back fees paid. [HANES - was ready to go to trial Tuesday Never want reluctant client.] Judge Preston Battle probably to grant delay.REPORTER: Tom Jarriel Author, William Bradford Huie, writes series of articles about Ray. Huie says Ray says he became involved in plot to kill Dr. Martin Luther King 8 mos. before shooting. Huie says idea was to cause racial conflict in US.REPORTER: Frank Reynolds{NOTE: Bar rolls through video during the entire program.}",1968,661155,170,942,4560
"United States rips into North Vietnam with regard to military response to bombing halt and interpretation of expanded talks make-up.REPORTER: Walter Cronkite(DC) State Department warns North Vietnam that repeated violations of DMZ (demilitarized zone) could jeopardize start of expanded Talks. United States rejects Hanoi claim that US agreed to 4-party talks; United States agrees to 2 sides. Effort to show South Vietnam that US not selling them out in Paris. Most United States officials reluctant to go ahead in Paris without South Vietnam.REPORTER: Marvin Kalb North Vietnam using US-South Vietnam troubles for propaganda purposes.REPORTER: Walter Cronkite(Paris, France) Rally held in honor of Madame Nguyen Thi Binh. Xuan Thuy accuses United States of deliberately stalling United States peace conference Girl reads poem written by Thuy. Mil. show put on.REPORTER: Peter Kalischer",1968,661388,240,887,4560
"Richard Nixon begins 10 state campaign tour. In Hawaii, Congman. criticizes Vice Presidential candidate, Spiro Agnew for saying """"Jap"""".REPORTER: Chet Huntley(Las Vegas, NV) Group sings song about Agnew. [AGNEW - says clarified mistake over Humphrey remark. It won't hurt campaign. All of us make mistakes.] Some say he sounds like old Nixon. [AGNEW - says Humphrey making proposals for more federal spending programs. Nation can't afford Humphrey's schemes. Humphrey not comfortable playing Lone Ranger after playing Tonto for so long.]REPORTER: Charles Quinn(Fort Worth, Texas) Agnew to continue using words """"law and order"""".REPORTER: Charles Quinn",1968,662270,180,651,4560
"(Convention Hall) Alabama Governor George Wallace says Chicago police should be commended for restraint while under severe provocation.REPORTER: Frank Reynolds(Chicago, Illinois) [Mayor DALEY says some police may have overacted, but judging all by alleged actions of few just as unfair as blaming all youth for mob's action. City will never condone brutality, but won't permit lawless terrorists to menace lines of millions, destroy purpose of convention and take over city sts.] Police representatives say they were provoked by protesters and maligned by news media.REPORTER: Frank Reynolds(Chicago, Illinois) Charges of police brutality investigated. 83 police injured since conv.'s start. One ofr. has possible fractured leg; another has human bite, another has fractured cheekbone. Films of violence shown. Police worked 12-17 hour shifts. They've been cursed, sprayed with gas and hit with flying objects. [Public Info. Director Police Department Frank SULLIVAN - says revolutionaries bent on destroying United States government They have almost no support but they're built into something big by news media. They're called kids and Yippies. Hardcore leaders are Communists.] City police start out at $7,500 year. Most have high school education, and live in cities with families. Too many will leave department early.REPORTER: Hugh Hill",1968,18358,190,1342,4560
"Rockefeller and Reagan step up search for delegates. Neither persuades large bloc of Nixon votes to switch over.REPORTER: Frank Reynolds(Miami Beach, Florida) Reagan meets with groups from 10 states. Visits Ohio group; 56 of 58 Ohio votes still pledged to favorite son, Governor James Rhodes. [REAGAN - knows Ohio group with Rhodes. Impolite of me to question if they'll consider someone else.]REPORTER: Frank Reynolds Keynote speaker Washington Governor Dan. Evans endorses Rockefeller. Evans could swing 6 of 24 votes to Rockefeller. Evans believes Nixon will win.REPORTER: Frank Reynolds(Miami Beach, Florida) Rockefeller attends breakfast meeting of Republican women. Visits Minnesota group later. His camp claims Nixon 1st vote strength dropped to 515. [ROCKEFELLER - says looks for 4th ballot. We'll all go across line together.]REPORTER: Frank Reynolds Pennsylvania Governor Raymond Shafer to nominate Rockefeller. Maryland Governor Spiro Agnew to nominate Nixon. Nixon meets reporters confidently today.REPORTER: Frank Reynolds",1968,513509,160,1035,4560
"Live CBS coverage National Republican Convention with reports by Walter Cronkite, Morton Dean and Mike Wallace.Live speeches and announcements by Gerald Ford, Fred Stripper and Richard Nixon.Live interview with Richard Nixon.Live coverage of benediction with Dr. Billy Graham.Film featuring Richard Nixon entering the convention hall.",1968,86,18600,334,4560
"Coverage of the 1968 Republican Convention.Anchored by Walter Cronkite, with reports and commentary by Eric Sevareid, Mike WallaceInterviews with Senator Strom Thurman, Senator Mark Hatfield, Dr RT Hood, John Gardner, Reverend Billy Graham, Trish Nixon.Speeches by Governor Raymond Schaeffer.",1968,110,3740,292,4560
"Accused assassin of Dr. Martin Luther King, Junior, James Earl Ray, set to go on trial Tuesday Defense attorney, Percy Foreman representatives him.REPORTER: Walter Cronkite(Memphis, Tennessee) Ray fires attorney, Arthur Hanes, Senior of Birmingham, Alabama. [HANES - says was ready to go to trial. Never want reluctant client. Won't comment on financial arrangement.] Foreman is attorney from Texas. Part of CBS special """"The Trial Lawyer"""" shown; May 10, 1967.REPORTER: George Herman(No Location Given) [FOREMAN - says have defended guilty clients. Consider self law enforcement ofr.]REPORTER: No reporter given(Memphis, Tennessee) Judge Preston Battle opens court room seats; indicated trial to be postponed until JanuaryREPORTER: George Herman",1968,661145,170,746,4560
