broadcast_abstract,year,id,time,length,n
"Contd. reaction to taxpayer revolt in California, brought to fruition by Prop. 13, reported Situations in San Francisco, Los Angeles, and San Diego described. Upcoming series of reports on effects of prop. on one California community noted.REPORTER: Harry Reasoner(Culver City, California) Background of Culver City, California, which depended on motion picture industry in early days of development, given. Present city described. Report is on effect of tax cut on school system. [School Supt. Dr. Edward GREENBLAT - calls for summer programs to be canceled and layoffs and freezing of positions in employment areas.] [Teacher Phil COTT - describes effects of cutbacks on teaching situation.] Less serious effects of cuts to city employees and services detailed. [City cnclman. Richard ALEXANDER - lists uncertainties city conts. to have and preparations for dealing with them.] Residents wait to see how much state money they'll get from legislature in Sacramento mentioned.REPORTER: Tom Schell",1978,564450,180,996,10537
"White House announcement with regard to meeting between President Carter and Prime Min. Begin in Washington, DC stated, as well as Israeli reaction to United States decision to sell war planes to Egypt and Saudi Arabia.REPORTER: Harry Reasoner(DC) Upcoming congress vote on arms sale noted. [Secretary of State VANCE - responds to questions on Prime Min. Begin's charge that sale will be obstacle to peace and how providing weapons to ptys. improves prospects for peace.] Admin. strategy in making arms sale into package deal noted. President Sadat's peace initiative and resulting change in US-Egypt relations mentioned.REPORTER: Barrie Dunsmore Mixed reaction to jet sale in Mideast stated.REPORTER: Peter Jennings(Jerusalem, Israel) Begin's comments on United States sale plans and his call for President Carter to reconsider, during speech to parliament, detailed. [Knesset member Zalman SHOVAL - is afraid sale will have negative effect on peace talks.] View in Jerusalem that arms sale is further evidence of erosion of US-Israeli relations under Carter administration noted.REPORTER: Andrew Meisels In reporter's news analysis, Egyptians' reaction to sales proposal reported; is noted that Sadat wanted more, but congress approval of that would have been unlikely. Details of military versus political points of issue outlined. Supplies of Israel, Syria and Egypt since 1973 war listed. Defense Department film shown. Analysis of military situation in Mideast, if arms sale goes thru, given. Planes involved in sale are F-15's, F-16's and F-5's. Joint chiefs chairperson General George Brown's statement with regard to F-5 use against Israel quoted. Analysis of political changes in area, with proposed sale of planes to Egypt and Saudi Arabia, traditional enemies of Israel, given.REPORTER: Peter Jennings",1978,566184,340,1813,10537
"Concerns about continued fighting in Lebanon, in both United States and Europe, noted; pressures to halt fighting and some to keep it going reported Fighting in Beirut described. Map shown.REPORTER: Peter Jennings(Beirut, Lebanon) Details given about fighting in Beirut between Syrian forces and those of Lebanese Christian militia. [Former Lebanese president Camille CHAMOUN - won't weaken position.] Fighting at Ashrafiyeh and at rightist-held port of Jounieh mentioned. Christian hopes that they would be able to inflict such damage on Syrians as to be unacceptable to President Hafez al-Assad reported.REPORTER: Jerry King Efforts to get cease-fire in Lebanon noted. President Carter's communications with USSR leader Leonid Brezhnev and with Syrians and Israelis about Lebanese fighting reported United States request for United Nations Security Council vote on cease-fire resolution stated.REPORTER: Frank Reynolds(DC) United States officials' belief that United Nations Security Council cease-fire resolution will be accepted by all ptys. noted. Pres Carter's communications with several foreign leaders include Brezhnev stated as reason for expected cooperation from Moscow. Shelling of Beirut by Israeli gunboats off Lebanon coast on Thursday, reported; heightened concern about Beirut fighting because of this stated.REPORTER: Ted Koppel Assad's visit with Soviet leaders in Moscow noted. Film shown. His receipt of message from Carter while there mentioned. Outlook for Assad's leadership of hard-line Arabs if Lebanon situation gets worse outlined. Syrians' support from USSR and Christian Lebanese support from Israel stated. Israeli shelling of Beirut from offshore given as example of their support for Christians; view of some Christians that Israel should do more cited.REPORTER: Peter Jennings(Tel Aviv, Israel) Christian Lebanese reaction to Israeli shelling of Beirut, include demands that Israel make massive intervention, reported Christian gathering on Lebanon-Israel border noted. [Christian spokesperson Abu SCANDER - says they are dying and need help from whole world.] [Knesset Security Committee head Moshe ARENS - discusses situation in Lebanon and own doubts that Syria will get into full-scale war in Mideast. Says it has to be made clear to Syrians that that will be price for annihilation of Lebanese Christians.] Israeli position that United Nations should stop Beirut fighting, as it did in south Lebanon earlier in year stated; south Lebanese distrust of United Nations described. Israeli reluctance to get involved in Lebanon affairs, especially with peace talks with Egypt about to begin in DC, mentioned.REPORTER: Andrew Meisels File film shown. History of Christian-Muslim conflict in Lebanon since cntry.'s independence from France in 1943 given. Details of civil war that began in 1975 also given. Some Christians' advocation of official partitioning of Lebanon into Christian and Muslim sections detailed. Christians' refusal to bow to Syrian peacekeeping efforts and positions of Christian leaders like Camille Chamoun stated. Complication of situation by Israeli support for Christian militia described. Efforts of United States and others to begin mediation in conflict reported.REPORTER: Peter Jennings",1978,541243,500,3249,10537
"Report on debate over Christmas celebrations as part of separation of church and state issue.REPORTER: Walter Cronkite(Sioux Falls, South Dakota) ACLU's contention that Sioux Falls, South Dakota, school board's policy of allowing Christmas programs to involve religious as well as secular aspects of season is against Constitution's provision for separation of church and state reported Lawsuit about issue noted. Lincoln HS chorus' preparation for Christmas program mentioned. [TEACHER - asks class about suit.] [ACLU (American Civil Liberties Union) spokesperson Marilyn DAY - states group's position; mentions use of secular songs like """"Jingle Bells"""" and """"Frosty the Snowman.""""] Underlying question stated to be whether Christmas in American has become secular, commercial holiday rather than one rooted in birth of Christ. [School board president Richard BOHY - outlines own view of case.] Roger Florey said to be plaintiff in case and reported to be avowed atheist. [FLOREY - comments.] [Student Rick ENTWHISTLE - comments.] Arguments about religious nature of carol, """"Silent Night,"""" by ACLU (American Civil Liberties Union) attorney Stephen Pevar and school attorney Demming Smith given and Sioux Falls judge Andrew Fogue' s indications with regard to ruling cited.REPORTER: CHRIS KELLEY (KELO-TV newstape) Artist: Marcia Danits",1978,541983,180,1339,10537
"Report on last chance for cruise to South Pacific aboard American pleasure cruiser, to ports like Manila and Pago Pago.REPORTER: Tom Brokaw(San Francisco, California) Reasons for end to American passenger ships listed. Monterey has just finished last cruise and return to San Francisco; sister ship to make last trip in April. Pacific-Far East Lines going out of passenger ship `bus. Reactions to last voyage by passengers on Monterey noted. [Sharon KLEIN - says it's very sad.] Possibility of Monterey's being bought by Arab nation to become floating hotel on Persian Gulf or its becoming scrap noted. Monterey's band playing """"California, Here I Come,"""" for last time reported.REPORTER: Rick Davis",1978,558820,140,699,10537
"Slaying of television star Bob Crane, near Phoenix, Arizona, reported Called murder.REPORTER: HR(Scottsdale, Arizona) Scenes from """"Hogan's Heroes"""" shown. Crane engagement at Scottsdale, Arizona, dinner theater noted. Victoria Ann Berry said to have discovered Crane dead at his apt. Details of Crane death given. Film shown. [Scottsdale policeman Lieutenant Ron DEAN - reports no struggle evident.] Crane television appearance in Phoenix on June 27 recalled. Tape played. [CRANE - speaks of his career and future.]REPORTER: Tom Schell (KTVK newstape)",1978,557746,120,552,10537
Cleveland's problem's in getting policemen to take walking beats in public hsing. projects because of fears for own safety reported.REPORTER: Max Robinson,1978,561580,30,154,10537
"Report on President Carter's day in Bonn, West Germany.REPORTER: Peter Jennings(Bonn, West Germany) Details given about activities in which Carter participates, include meeting with Chancellor Helmut Schmidt. Impt. of German troops in NATO (North Atlantic Treaty Organization) defense against Sovs. in Europe described. [SCHMIDT - comments on newsmen's opportunities in coming days to photograph leaders] Carter's speech at same site where John F. Kennedy spoke mentioned. [CARTER - pledges continued NATO (North Atlantic Treaty Organization) support from United States to help defense West Germany.] Conf. among Carter and aides Jody Powell, Hamilton Jordan and Gerald Rafshoon described. [CARTER - solved problems.]REPORTER: Sam Donaldson Intro. to interview with Schmidt, beginning with discussion of economy summit.REPORTER: Peter Jennings(No location given) [SCHMIDT - states reasons for liking pessimistic reports about summit.] Anchor asks about talks with Carter and American's energy program; United States and Japanese econs. mentioned. [SCHMIDT - is rather optimistic. Discusses prospect of stimulating Germany's economy Found self and Carter in almost total agreement with regard to Mideast, China (PR), USSR , Africa and other world affairs.] United States debate over cntry.'s position in relations with USSR and Cuba noted. [SCHMIDT - states own views on necessary ingredients for US-USSR and Cuba relations] Anchor asks about Shcharansky and Ginzburg trials. [SCHMIDT - discusses views on actions against all such dissidents in world. Doesn't believe it would be wise for United States to make reprisals.]REPORTER: Barbara Walters Schmidt's appearance on """"Issues and Answers"""" on Sunday noted. Carter's upcoming visit to Berlin and broadcast about it detailed.REPORTER: Peter Jennings",1978,566190,420,1801,10537
"Report on San Francisco trial involving question of TV's responsibility for violence that may have been prompted by television drama.REPORTER: Roger Mudd(San Francisco, California) Background of lawsuit brought against NBC and San Francisco affiliate by mother of rape victim given. Rape allegedly took place after attackers saw or heard of scene in NBC made-for-TV movie """"Born Innocent."""" Scenes from movie shown. [Victim's attorney Marvin LEWIS - states position in case.] NBC's position, based on 1st Amendment rights, stated. [NBC attorney Floyd ABRAMS - notes American Library Association brief filed in support of network; described brief's contentions.]REPORTER: Bernard Goldberg Artist: Howard Brodie",1978,562112,150,709,10537
"No. of Polish-Americans in United States given; largest concentration noted in Chicago. Their reaction to election of Pope John Paul II reported.REPORTER: Walter Cronkite(Chicago, Illinois) Celebration in Krakow, WI, described as same as if it were in namesake. [Video difficulty.] [John SOBIESKI - feels proud. Mentions that even though under Communist control, Poles in Poland cling to Catholic Church.] Reactions in Chicago, especially in neighborhoods, described. [Thelma SILBERT - is surprised, but thinks it timely and is giving message to Communist world to open churches.] [Walter GOLOJUCK - says it's great honor.] Phone calls to """"Polish Dailyzgoda"""" newspaper reported [Florence DOBISKEWSKI - describes telephone calls.] [Evelyn TWERSKY - was going to give up watching for announcement of new pope.] [Josef WEGRZYN - says Polish people now have someone to look to.] Then-Cardinal Wojtyla's honorary mbrship. in Polish Roman Catholic Union, given him on visit here in 1976, mentioned. Chicago Bishop Alfred L. Abramowicz noted as friend of new pope. [ABRAMOWICZ - describes new pope.]REPORTER: Chris Kelley Dispute over pronunciation of new pope's name noted.REPORTER: Walter Cronkite",1978,537953,170,1194,10537
