broadcast_abstract,year,id,time,length,n
"(Studio: Harry Smith) The continuing battle in Iraq between Shiite militias and Iraqi forces updated.(Baghdad: Lara Logan) The deepening crisis in Iraq featured; details given about the involvement of US forces and the spread of the violence; scenes shown of smoke coming from Baghdad’s Green Zone, armed followers of Muqtada al-Sadr in Basra, burned cars and injured children in Sadr City, a dead child. [British army spokesman Maj. Tom HOLLOWAY†- says offensive support was provided by American aircraft.] [Voice of Basra resident Abu HASSAN†- comments on the Mahdi Army militia.] The level of cooperation between Iraqi and US forces discussed.(Studio: Harry Smith) .(Pentagon: David Martin) The impact on US military strategy of the Iraqi government’s decision to take on the militias examined; details given of complaints that Prime Minister Nuri al-Maliki acted impulsively. [President BUSH – says he’s not sure what triggered Maliki's response.]",2008,147146,280,951,11934
"[In Tampa, Senator Barack OBAMA&nbsp- campaigns against negative campaigning.](Studio: Anderson Cooper) Live discussion held with Christian Broadcasting Network David Brody and Republican strategists Bay Buchanan and Ed Rollins about the Palin factor in the presidential election campaign. [BUCHANAN&nbsp- says the view of a handful of intellectuals is not significant; outlines what Senator John McCain has to do in the last two weeks.] [ROLLINS&nbsp- says Palin has been an extraordinary part of the campaign and has been a more effective candidate than McCain; assesses the endorsement of Senator Barack Obama by former Secretary of State Colin Powell; states now the economy is the issue.] [BRODY&nbsp- says Palin knocks the media about the faith issue; notes there are dangers in the McCain campaign bringing up the Rev. Jeremiah Wright issue.] Other material: [For the """"700 Club,"""" PALIN&nbsp- speaks about faith in God.]",2008,115051,440,928,11934
"[Senator Barack OBAMA, Senator John McCAIN&nbsp- says it is just four days.](Studio: Anderson Cooper) Live """"strategy session"""" held with CNN's David Gergen, Republican consultant Alex Castellanos and radio talk show host Roland Martin about the presidential race. [GERGEN&nbsp- says it is about maintaining momentum; notes what is the bad news for McCain: 11 states that president Bush won in which Obama is now competitive; comments on the """"Bradley effect"""" about race and whether it has worn off today plus the black turnout may be much higher.] [MARTIN&nbsp- says Obama is telling people not to get comfortable.] [CASTELLANOS&nbsp- talks about McCain's ground game to get things out; notes undecided voters are still window shopping and may not be Obama supporters in the election; states the attacks on Obama would have to come from Obama at this point: like his redistribution comment.] [MARTIN&nbsp- comments on taxes and voting.] [Other material: [OBAMA&nbsp- predicts more slash and burn politics designed to tear us apart.]",2008,112644,430,1034,11934
"(Houston: Anderson Cooper) Excerpts from the ABC exclusive interview with Governor Sarah Palin presented; inset video of Hurricane Ike shown. [PALIN&nbsp- offers her views on earmark projects in Alaska, Roe v. Wade, being pro-life and alternatives for women; gives her personal opinion on abortion, stem cell research, homosexuality and whether it is sexist to ask about a mother of five being vice president.]",2008,116632,220,410,11934
"(Studio: Dan Harris) The deal to rescue the American financial system introduced.(Capitol Hill: Rachel Martin) The compromise 700 billion dollar rescue package reviewed; details given of the specifics. [Speaker of the House Nancy PELOSI&nbsp- says the message to Wall Street is """"the party is over.""""] [Representative Virginia FOX, Senator Judd GREGG&nbsp- offer differing opinions on the bill.] The possibility of the bill passing with House Republicans opposed to a government bailout discussed.(Studio: Dan Harris) .(Studio: Betsy Stark) The question of whether the huge bailout will work to keep Wall Street from the economic abyss featured; details given of the need to jumpstart the credit market and of the specifics of the economic problems. [Economic Outlook Group Bernard BAUMOHL- says we need to restore some health to the banking system.] [On """"This Week,"""" former Labor secretary Robert REICH, former Speaker of the House Newt GINGRICH- offer views on the plan.] [Tuck School of Business professor Robert HANSEN- says a team of professional finance managers is needed.] [The Stanford Group policy analyst Anne MATHIAS- says the government could actually make money.] [OakBrook Investments CIO Janna SIMPSON- offers an assessment.](Studio: Dan Harris) The support from Senator John McCain for the deal noted.(Washington: Ron Claiborne) The recent rough days for McCain as the bailout plan goes forward reviewed; details given about the fallout from vice presidential candidate Governor Sarah Palin's interview with Katie Couric; scenes shown of the """"Saturday Night Live"""" satire of Palin. [On """"This Week,"""" McCAIN&nbsp- comments.] [Political analyst Kevin MADDEN- assesses the Palin pick.](Detroit: John Berman) Senator Barack Obama's campaign featured; ABC News/""""Washington Post"""" poll figures on who the people trust to handle the economy cited; scenes shown from several Obama rallies. [Today and yesterday, OBAMA&nbsp- criticizes McCain's finance to the financial crisis.] [On """"Face the Nation."""" OBAMA&nbsp- says he shaped the provisions to help taxpayers.]",2008,113781,540,2085,11934
"(Studio: Anderson Cooper) The jokes from presidential candidates Senators John McCain and Barack Obama at the annual Alfred E. Smith charity dinner in New York City featured. [OBAMA&nbsp- jokes about his campaign, his background, his name.]",2008,115820,170,240,11934
(Studio: Brian Williams) An agreement ending US Sugar Corp.’s farm operations in the Florida Everglades reported.,2008,148903,30,113,11934
"(Studio: Charles Gibson) A closer look at parents moving in with their adult children introduced; Census Bureau statistics cited.(Chicago: Barbara Pinto) The changing family structure in a changing economic environment examined; details given about the possible family conflicts; scenes shown of one family. [Daughter Janis MINK, mother Marie HENDRICKSON, son-in-law Andy MINK- comment on their situation.] [Generations United director Donna BUTTS- predicts an increase in multi-generational housing based on need.] [Grandparents.com editor Susan AVERY- raises the questions about intergenerational families.](Studio: Charles Gibson) The drop in illegal immigrants entering the US due to tighter immigration laws and the weakening economy noted.",2008,114727,170,750,11934
"(Studio: Brian Williams) Series on where the presidential candidates stand on specific issues continued.(Pentagon: Jim Miklaszewski) The issue of the Iraq war examined; details given of the candidates’ views on troop withdrawal. [Senators Barack OBAMA, John McCAIN, Hillary CLINTON; Mike HUCKABEE&nbsp- offer views.] [Retired Gen. Barry McCAFFREY- says it will be difficult to walk away from the situation.]",2008,142540,160,408,11934
"(Studio: Katie Couric) .(Los Angeles: Sandra Hughes) 60-year-old tennis player Sheila Johnson for Grand Canyon University profiled; scenes shown from the tennis courts; photos shown of Sheila in college in 1968. [JOHNSON&nbsp- says she is a competitor and a student and age does not matter.] [Doubles partner Stephanie HALDEMAN, teammate Amanda JACKSON, opponent Krishana De SILVA, coach Greg PRUDHOMME- talk about Sheila.]",2008,152806,140,427,11934
