broadcast_abstract,year,id,time,length,n
"(Studio: Dan Rather) .(Halabja, Iraq: Anthony Mason) Iranian troops noted pushing further into North Iraq; details given, scenes shown of fighting's devastation. [Iranian SOLDIER - (thru translator) comments on capturing Iraqi dam which controls water and power supply for Baghdad, Iraq.] Iranian advance detailed; Iranian government tape shown of capture of Halabja. Iraq noted retaliating by dropping mustard and cyanide gas bombs on Iranian cities; scenes shown of dead. Injured shown suffering from bombs' effects. Doctors noted asserting survivors will have respiratory problems for remainder of lives. Several hundred square miles of Iraqi land reported now under Iranian control and Iraqi counterattack. Iranian press noted claiming troops will conquer all of Iraq.",1988,424842,86200,772,11070
"(Studio: Connie Chung) Syrian President Hafez al-Assad reported telling Secretary of State George Shultz that he might have ideas on how to gain release of Lieutenant Colonel William Higgins, who was kidnapped in Lebanon last week",1988,426536,85700,230,11070
"(Studio: Peter Jennings) Preview of conv.'s third day given. .(Convention floor: Sam Donaldson) Today noted to be day Governor Michael Dukakis will be nomination to president; details given of Dukakis' day, scenes shown at luncheon honoring Kitty Dukakis. [DUKAKIS - talks about coming to Atlanta and about Jesse Jackson.] Likely themes of Dukakis' acceptance speech detailed. [At meeting with Atlanta Boys Club, DUKAKIS - accepts t-shirt.] Dukakis' style contrasted to that of Ronald Reagan.(Studio: Peter Jennings, Sam Donaldson) Issue of whether or not Dukakis will come to convention on his nomination night discussed.(Studio: Peter Jennings) Attn. given to Jackson noted. .(Convention floor: Brit Hume) Continue of Jackson campaign reported; scenes shown. [At Southern Christian Leadership Conference meeting, JACKSON - talks about lessons of this campaign; discusses his lengthy campaign] Nature of Dukakis-Jackson accords detailed. [At photo opportunity with Senator Edward Kennedy, JACKSON - talks about campaign rel.](Studio: Peter Jennings, Brit Hume) Jackson's ability to remain in center of news at convention noted.(Studio: Peter Jennings) Media presence at convention noted. .(Convention floor: Jeff Greenfield) History of roll call vote for cand.'s nom. reviewed; scenes shown from several convs. [Roll call counter Dorothy BUSH - explains how to use roll call computer.] Tradition of roll call vote reiterated.",1988,433926,470,1426,11070
"(Studio: Peter Jennings) Passing of trade bill by House of Representatives reported .(DC: Ann Compton) Controversial provision of trade reform bill that companies must give workers two month notice prior to plant closings and large-scale layoffs examined. [President REAGAN - says can't sign bill with that provision in it.] [Representative Bill FRENZEL - says this """"hitchhiker"""" provision will cause bill to be vetoed.] [Representative Jim WRIGHT - says can't believe bill would be vetoed.] Basic provisions of trade bill detailed. Possibility of veto override in Congress mentioned.",1988,433873,85810,585,11070
"(Studio: Tom Brokaw) .(Point Barrow, AK: Don Oliver) Rescue workers shown attempting to free gray whales trapped in ice off coast of AK; details given. [Greenpeace spokesperson Cindy LOWRY - comments on rescue.] Rescue plan outlined on screen. [Fisheries Admin. spokesperson Ron MORRIS - comments on whales' condition] Whales noted weakened.",1988,405783,120,341,11070
"(Studio: Dan Rather) .(Moscow, USSR : David Martin) Defense Min. General Dmitri Yazov featured; details given, scenes shown. [YAZOV - (thru translator) comments on number of US bases surrounding USSR .] USSR naval operations discussed. USSR military noted breaking away from geographical boundaries. [Captain Eugeney ORLOV - comments on USSR navy.] [YAZOV - (thru translator) says never gets too close to US.] Black Sea incident recalled; details given, scenes shown. [YAZOV - (thru translator) blames United States for incident.] USSR troop withdrawal from Afghanistan discussed. [YAZOV - (thru translator) comments on Afghanistan and United States misinformation with regard to USSR military] Yazov quoted with regard to defense budget; reductions.(Studio: Dan Rather) No. of USSR casualties in Afghanistan war given.",1988,426813,200,819,11070
"(Studio: Bob Schieffer) President Reagan reported vetoing trade bill. .(DC: Bill Plante) House of Representatives reported voting to override veto but Reagan expected to prevail in Senate [Senator Robert DOLE - comments on situation.] Unresolved pre-summit issues discussed; Panama and general Manuel Noriega mentioned. [White House chief of staff Howard BAKER - comments on Noriega issue.] Noriega opponents reported accusing Reagan of failing to keep promises. [Ambassador to United States Juan B. SOSA - comments on deal.] Senator's failure to ratify INF treaty prior to Moscow summit mentioned. [BAKER - says hopes to take ratification documents to Moscow.] [On WORLDNET, REAGAN - comments on differences between United States and USSR .] White House officials quoted with regard to summit.",1988,427219,160,794,11070
"(Studio: Susan Spencer) Results of """"Des Moines Register"""" poll of standing of Democrat cands. in Iowa outlined on screen. .(Durham, New Hampshire: Terence Smith) Televised debate among Democrat president cands. in New Hampshire featured; details given, scenes shown. [Gary HART, moderator John CHANCELLOR - exchange words with regard to introduction of Hart.] [Bruce BABBITT, Governor Michael DUKAKIS - debate tax issue.] Dukakis' """"Massachusetts miracle"""" of state economy resurgence discussed. [Senator Albert GORE, Jesse JACKSON - talks about miracles and Massachusetts economy] [Senator Paul SIMON - recalls Hubert Humphrey.] Impt. of New Hampshire primary to cands. detailed.(Studio: Susan Spencer) Results of """"Los Angeles Times"""" survey of leaders in New Hampshire given; leading cands. reported to be Dukakis and Vice President George Bush.",1988,425920,84780,849,11070
"(Studio: Garrick Utley) Dvt. of South Korea both as an economy power and as host of Olympic games featured. .(Seoul, South Korea: Keith Miller) History of South Korea reviewed. [US ambassador James LILLEY - says Korea has historically had it rough.] Preparations for summer Olympics reported; scenes shown. Rise to power of new president Roh Tae Woo reviewed; scenes shown of last year's protests calling for direct president elecs. Rel. of South Korea and North Korea and issue of reunification reviewed. [N. Korea central committee PAEK Kee - discusses reunification.] Rehearsals for opening ceremonies of Olympics shown. [LILLEY - says Olympics will enhance South Korea's international posture.] Historical film shown of Seoul during Korean war. Seoul today described, shown. [Author Peter HYUN - talks about new era for nation](Studio: Garrick Utley) Amt. spent by Korea for Olympics quoted.",1988,433955,330,895,11070
(Studio: Peter Jennings) Legal victory for American Medical Association in case where judge threw out grand jury subpoena calling for name of physician whose anonymous account of mercy killing appeared in American Medical Association journal reported,1988,429815,86060,250,11070
