broadcast_abstract,year,id,time,length,n
(Singapore: Anderson Cooper) The interview with former US Ambassador to U.N. & New Mexico Governor Bill Richardson on North Korea continues. [RICHARDSON&nbsp- offers views on North Korean leader Kim Jong Un's father Kim Jong Il's style as a trader while Kim Jong Un is looking for an end game: to modernize North Korea based on full military capability.],2018,21169,140,354,6229
"(Studio: Anderson Cooper) A Keeping Them Honest look at the murder of journalist Jamal Khashoggi inside the Saudi embassy in Turkey after the CIA reported the involvement of Saudi Crown Prince Mohammad bin Salman in the murder plot introduced. [President TRUMP&nbsp- says the CIA has nothing definitive, so maybe....] [On Saturday, Secretary of Defense Gen. James MATTIS&nbsp- says we do not have a smoking gun that MBS was involved.] How CIA dir. Gina Haspel has apparently confirmed this with her briefing noted. [Senator Lindsey GRAHAM &nbsp- cites """"the smoking saw"""": it was orchestrated by MBS: a zero chance.] What Senator Bob Corker said noted. [On Saturday, Secretary of State Mike POMPEO&nbsp- says there is no direct evidence linking MBS....](Studio: Anderson Cooper; White House: Jim Acosta) The silence at the White House in response to what senators said about the CIA assessment report linking MBS to the Khashoggi murder, why Trump continues to downplay this discussed.(Studio: Anderson Cooper) Live discussion held with CNN's forme FBI/CIA official Phil Mudd & Max Boot about the Khashoggi murder. [BOOT&nbsp- offers views on the administration's coverup of MBS's role with Mattis having to carry water for the president, on what Senator Graham said, the questions about the administration's pro-Saudi position: where he has business ties in Saudi Arabia, which is now a destabilizing influence in the region.] [MUDD&nbsp- offers views on how the information is presented in this kind of intelligence case.]",2018,24898,770,1524,6229
"(Studio: Anderson Cooper) .(Palm Beach, Florida: Randi Kaye) A report Donald Trump lied about his wealth to """"Forbes' magazine to get on the 400 list examined; 1984 phone call to """"Forbes"""" from Trump alter ego John Barron to Jon Greenberg played. [GREENBERG&nbsp- explains the Trump deception to get on the list: he lied about the assets.] Trump's use of fake names {Barron & John Miller} reviewed.(Studio: Anderson Cooper) Live discussion held with CNN's Trump biographer Michael D'Antonio. [From West Babylon, New York,D'ANTONIO&nbsp- offers views on citizen Trump lying to demand the listener to believe him: audacity, his history of childhood lies.]",2018,36579,370,654,6229
"(Studio: Reena Ninan) .(Wigtown, Scotland: Jonathan Vigliotti) The Open Book, a bed & bookstore in Wigtown, Scotland, where guests pay to work for free in the store visited; scenes shown from the remote village shop that has an Airbnb listing. [Los Angeles screenwriter Jessica FOX&nbsp- talks about the lifestyle of books.] [English teacher Christie VERDADO- talks about working in the bookshop.]",2018,35945,160,398,6229
"(Studio: Anderson Cooper) A report from US officials that a confidential source was not planted inside Donald Trump's presidential election campaign despite what former New York City Mayor Rudolph Giuliani is saying noted; Trump tweets about an embedded FBI informant quoted. [On Fox, GIULIANI&nbsp- expresses shock about the spy.] [Today on CNN, GIULIANI&nbsp- says we were told about the informant or a wiretap.] [In testimony, FBI director Christopher WRAY&nbsp- says they have to trust we protect our sources.](Studio: Anderson Cooper) Live discussion held with Representative Jim Himes. [From Connecticut, HIMES&nbsp- offers views on Giuliani's language about spies & FISA warrants & the surrogates are talking about exposing FBI sources, which Congressmen President Trump is talking to despite them not being on the committees.]",2018,19793,440,834,6229
(Studio: Kate Snow) An NBC News Investigates story on medical devices introduced.(Washington: Stephanie Gosk) A look at medical devices called spinal cord stimulators to deal with back pain presented; diagram shown to illustrate how the device works; statistics in injury reports about the devices cited with an FDA statement quoted. [Stunt man Pete CORBY- says it saved his life.] [Patient Jim TAPP- explains what he was promised: very painful.] [National Center for Health Research president Diana ZUCKERMAN- says FDA approval does not guarantee the device works.] [Massachusetts General Hospital Dr. Gary BRENNER- says there is not good medical information about the devices.] A statement in defense of the technology from Boston Scientific quoted.(Studio: Kate Snow) An FDA statement about new goals for medical device safety noted.,2018,20790,220,840,6229
"(Studio: Anderson Cooper) Live discussion held with """"The Hollywood Reporter"""" part-owner Janice Min about the description in Michael Wolff's book """"Fire & Fury"""" of a dinner party attended by Steve Bannon & Fox CEO Roger Ailes; Min tweet quoted. [MIN - offers views on the incredible dinner party hosted by Wolff for the Aileses with whom she talked, the accuracy of book quotes about the Ailes-Bannon exchange about the future of the Republican Party, Bannon's view of President Trump: his lack of patience, how Wolff was granted the rights to quote what was said at the dinner.](Studio: Anderson Cooper, Jeffrey Toobin) More that was said in the Wolff book by Trump about FBI director James Comey & John Dean quoted. [Voice of DEAN - offers views on what Trump said about him {Dean} & Watergate, whether White House lawyer Don McGahn could be asked to testify based on attorney-client privilege, how he {Dean} was allowed to testify during Watergate, McGann's loyalty being to the executive branch, not the president.](Studio: Anderson Cooper) The excerpt in the Wolff book about what Trump said about the Trump Tower meeting with Russians & other matters in the book quoted. Live discussion held with CNN's Jeffrey Toobin, law professor Carrie Cordero & Pamela Brown about the issues raised by the Wolff book. [TOOBIN, BROWN, CORDERO - offer views on the """"New York Times"""" story about the June 20 Trump Tower meeting with Russians & Donald Trump, Jr. & the investigation by special counsel former FBI director Robert Mueller about who put out a false story about the meeting; Mueller's look into obstruction of justice in the Russia probe into the meeting, the issue of what would happen if Mueller was fired: it would be a red line for Congress, the issue of the firing of FBI director James Comey & who knew about the plans for the firing.] Other material: Wolff book excerpts quoted.",2018,36779,1100,1891,6229
"(Studio: Anderson Cooper) Photos of four cabinet members, as well as national security adviser H.R. McMaster, who are in President Trump's doghouse & of key staffers who have departed the White House shown. Trump tweet on fake news quoted. [Today, five REPORTERS&nbsp- question White House press secretary Sarah Huckabee Sanders.] [During the campaign, eight times, TRUMP&nbsp- says we will get the best people.] [March 8, TRUMP&nbsp- says everybody wants to be in the White House.] Brookings Inst. study findings on the Trump administration departures cited.(Studio: Anderson Cooper) Live discussion held with CNN's David Gergen & former White House chief of staff Leon Panetta about the chaos in the White House. [PANETTA&nbsp- says Trump likes to operate in chaos, not stability, that strong presidents use people with different points of view; wonders how they operate without trust among them, like White House chief of staff Gen. John Kelly.] [GERGEN&nbsp- offers views on someone saying Trump said """"I am the storm""""; that he is happier without people challenging him, that he needs to re-form quickly rather than just leaks out of the White House about the likes of Secretary of State Rex Tillerson & McMaster.]",2018,35890,660,1219,6229
"(Studio: Tom Llamas) .(New York: Erielle Reshef) The manhunt in Nashville for two murder suspects who may be linked to a violent crime spree featured; scenes & photos shown from the city where Bartley Teal& Jaime Sarrantoniowere killed outside the Cobra Bar; details given about two other shootings on August 8 & 14. [Nashville MAN&nbsp- reacts to all the shootings.] [Teal friends Magan RISH, WOMAN&nbsp- speak about Teal.]",2018,20021,130,429,6229
"(Studio: John Berman) President Trump's blaming of President Obama, not Russian President Vladimir Putin, for Russia's annexation of Crimea introduced. [On Air Force One, TRUMP&nbsp- says Obama gave up Crimea; outlines what we will talk about & maybe the world can de-escalate.](Studio: John Berman) Live discussion held with CNN's Max Boot & security analyst Steve Hall about Trump's view of history. [BOOT&nbsp- offers views on how Trump never blames Putin for anything, how Trump will not pressure Putin on election meddling, how Putin would love the US moving troops out of Germany.] [HALL&nbsp- offers views on how Putin must be pleased with what Trump is saying, how Putin does not believe in the western idea of """"peace"""".]",2018,18860,370,730,6229
